Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
491410,Egypt,4/23/2024 23:07,,,516023,24613,"442,182"
513834,Qatar,4/23/2024 23:07,,,514524,690,"513,687"
500837,Libya,4/23/2024 23:07,,,507274,6437,"500,835"
498030,China,4/23/2024 23:07,,,503302,5272,"379,053"
493583,Ethiopia,4/23/2024 23:07,,,501157,7574,"488,171"
493674,Réunion,,,,494595,921,
463425,Honduras,4/23/2024 23:07,,,474590,11165,
443054,Armenia,4/23/2024 23:07,,,451831,8777,"435,162"
387227,Bosnia and Herzegovina,,,,403615,16388,"379,084"
394821,Oman,4/23/2024 23:07,,,399449,4628,
390000,Luxembourg,4/23/2024 23:07,,,391232,1232,
340591,North Macedonia,,,,350567,9976,"337,068"
345235,Zambia,4/23/2024 23:07,,,349304,4069,"341,316"
338441,Kenya,4/23/2024 23:07,,,344130,5689,"337,309"
343494,Brunei,4/23/2024 23:07,,,343719,225,"243,601"
331258,Albania,4/23/2024 23:07,,,334863,3605,"330,233"
327837,Botswana,4/23/2024 23:07,,,330638,2801,"327,049"
293696,Montenegro,4/23/2024 23:07,,,296542,2846,"291,794"
265129,Algeria,4/23/2024 23:07,,,272010,6881,"183,061"
264033,Nigeria,4/24/2024 4:08,,,267188,3155,"259,953"
260619,Zimbabwe,4/23/2024 23:07,,,266359,5740,"258,888"
252025,Uzbekistan,4/23/2024 23:07,,,253662,1637,"241,486"
226178,Afghanistan,4/23/2024 23:07,,,234174,7996,"211,080"
231481,Mozambique,4/23/2024 23:07,,,233731,2250,"228,805"
229252,Martinique,4/23/2024 23:07,,,230354,1102,
218212,Laos,4/23/2024 23:07,,,218970,758,
209677,Iceland,4/24/2024 2:08,,,209906,229,
203906,Kyrgyzstan,4/23/2024 23:07,,,206897,2991,"196,406"
202214,Guadeloupe,4/23/2024 23:07,,,203235,1021,
197625,El Salvador,,,,201855,4230,"179,410"
187106,Trinidad and Tobago,,,,191496,4390,"187,078"
186378,Maldives,4/23/2024 23:07,,,186694,316,"163,687"
168283,Namibia,4/23/2024 23:07,,,172389,4106,"167,099"
168517,Uganda,4/23/2024 23:07,,,172149,3632,"100,431"
170427,Ghana,4/23/2024 23:07,,,171889,1462,"170,425"
153113,Jamaica,4/23/2024 23:07,,,156869,3756,
136047,Cambodia,4/23/2024 23:07,,,139103,3056,"136,044"
132050,Rwanda,4/23/2024 23:07,,,133518,1468,"132,039"
123405,Cameroon,4/24/2024 3:08,,,125379,1974,"123,280"
120535,Malta,4/23/2024 23:07,,,121420,885,"120,149"
109930,Barbados,4/23/2024 23:07,,,110578,648,"108,647"
105390,Angola,4/23/2024 23:07,,,107327,1937,"103,419"
101489,Channel Islands,,,,101717,228,"101,321"
97870,DRC,4/23/2024 23:07,,,99338,1468,"84,489"
97621,French Guiana,,,,98041,420,"11,254"
86849,Malawi,4/23/2024 23:07,,,89535,2686,
87082,Senegal,4/23/2024 23:07,,,89053,1971,"87,024"
87549,Ivory Coast,,,,88384,835,"87,497"
81180,Suriname,4/23/2024 23:07,,,82588,1408,
79750,New Caledonia,,,,80064,314,
78604,French Polynesia,,,,79254,650,
73764,Eswatini,4/23/2024 23:07,,,75191,1427,"73,116"
72837,Guyana,4/23/2024 23:07,,,74137,1300,"72,013"
70721,Belize,4/23/2024 23:07,,,71409,688,
68232,Fiji,4/23/2024 23:07,,,69117,885,"67,226"
67060,Madagascar,4/23/2024 23:07,,,68486,1426,"66,862"
64060,Cabo Verde,,,,64477,417,"63,755"
58947,Sudan,4/23/2024 23:07,,,63993,5046,"58,947"
62851,Mauritania,4/23/2024 23:07,,,63848,997,"62,471"
62676,Bhutan,4/24/2024 0:07,,,62697,21,"61,564"
54578,Syria,4/23/2024 23:07,,,57743,3165,"54,578"
54683,Burundi,4/23/2024 23:07,,,54721,38,"53,569"
51048,Seychelles,4/23/2024 23:07,,,51220,172,"51,048"
48744,Gabon,4/23/2024 23:07,,,49051,307,"48,674"
47850,Andorra,4/23/2024 23:07,,,48015,165,
46194,Papua New Guinea,,,,46864,670,"46,168"
45691,Curaçao,,,,45986,295,"44,720"
43932,Aruba,4/23/2024 23:07,,,44224,292,"42,438"
42377,Tanzania,4/23/2024 23:07,,,43223,846,
41974,Mauritius,4/23/2024 23:07,,,43025,1051,"41,278"
41839,Mayotte,4/23/2024 23:07,,,42027,188,
39282,Togo,4/23/2024 23:07,,,39572,290,"39,281"
38104,Guinea,4/23/2024 23:07,,,38572,468,"37,757"
37240,Bahamas,4/23/2024 23:07,,,38084,844,"36,366"
37892,Isle of Man,,,,38008,116,
35415,Lesotho,4/23/2024 23:07,,,36138,723,"25,980"
33807,Haiti,4/23/2024 23:07,,,34667,860,"33,734"
34630,Faeroe Islands,,,,34658,28,
32421,Mali,4/23/2024 23:07,,,33164,743,"32,332"
31435,Cayman Islands,,,,31472,37,"8,553"
29805,Saint Lucia,,,,30215,410,"29,805"
27873,Benin,4/23/2024 23:07,,,28036,163,"27,847"
27550,Macao,4/23/2024 23:07,,,27673,123,"3,487"
25973,Somalia,4/23/2024 23:07,,,27334,1361,"13,182"
26482,Micronesia,,,,26547,65,
26057,San Marino,,,,26185,128,"26,011"
25755,Solomon Islands,,,,25954,199,
24989,Congo,4/23/2024 23:07,,,25375,386,"24,006"
23322,Timor-Leste,4/23/2024 23:07,,,23460,138,"23,102"
21714,Burkina Faso,,,,22114,400,"21,596"
21480,Liechtenstein,4/23/2024 23:07,,,21574,94,
20437,Gibraltar,4/23/2024 23:07,,,20550,113,
19455,Grenada,4/23/2024 23:07,,,19693,238,"19,358"
18695,Bermuda,4/23/2024 23:07,,,18860,165,"18,685"
18672,South Sudan,,,,18819,147,"18,115"
18266,Nicaragua,4/23/2024 23:07,,,18491,225,"4,225"
17661,Tajikistan,4/23/2024 23:07,,,17786,125,"17,264"
17046,Equatorial Guinea,4/22/2024 13:58,,,17229,183,"16,907"
17114,Monaco,4/23/2024 23:07,,,17181,67,
16975,Samoa,,,,17006,31,"1,605"
16937,Tonga,,,,16950,13,"15,638"
16121,Marshall Islands,,,,16138,17,"16,121"
15964,Dominica,4/23/2024 23:07,,,16038,74,"15,964"
15501,Djibouti,4/23/2024 23:07,,,15690,189,"15,427"
15327,CAR,4/23/2024 23:07,,,15440,113,"15,200"
12254,Gambia,4/23/2024 23:07,,,12626,372,"12,189"
12261,Saint Martin,,,,12324,63,
12005,Vanuatu,,,,12019,14,"11,976"
11950,Greenland,4/23/2024 23:07,,,11971,21,"2,761"
9786,Yemen,4/23/2024 23:07,,,11945,2159,"9,124"
11644,Caribbean Netherlands,,,,11682,38,"10,476"
10959,Sint Maarten,,,,11051,92,"10,905"
10086,Eritrea,4/23/2024 23:07,,,10189,103,"10,086"
9619,Niger,4/23/2024 23:07,,,9931,312,"8,890"
9550,St. Vincent Grenadines,,,,9674,124,"9,493"
