Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
,Kyrgyzstan,4/23/2024 23:07,,,,,"196,406"
,Guadeloupe,4/23/2024 23:07,,,,,
,El Salvador,,,,,,"179,410"
,Trinidad and Tobago,,,,,,"187,078"
,Maldives,4/23/2024 23:07,,,,316.0,"163,687"
,Namibia,4/23/2024 23:07,,,,,"167,099"
,Uganda,4/23/2024 23:07,,,,,"100,431"
,Ghana,4/23/2024 23:07,,,,,"170,425"
,Jamaica,4/23/2024 23:07,,,,,
,Cambodia,4/23/2024 23:07,,,,,"136,044"
,Rwanda,4/23/2024 23:07,,,,,"132,039"
,Cameroon,4/24/2024 3:08,,,,,"123,280"
,Malta,4/23/2024 23:07,,,,885.0,"120,149"
,Barbados,4/23/2024 23:07,,,,648.0,"108,647"
,Angola,4/23/2024 23:07,,,,,"103,419"
,Channel Islands,,,,,228.0,"101,321"
,DRC,4/23/2024 23:07,,,,,"84,489"
,French Guiana,,,,,420.0,"11,254"
,Malawi,4/23/2024 23:07,,,,,
,Senegal,4/23/2024 23:07,,,,,"87,024"
,Ivory Coast,,,,,835.0,"87,497"
,Suriname,4/23/2024 23:07,,,,,
,New Caledonia,,,,,314.0,
,French Polynesia,,,,,650.0,
,Eswatini,4/23/2024 23:07,,,,,"73,116"
,Guyana,4/23/2024 23:07,,,,,"72,013"
,Belize,4/23/2024 23:07,,,,688.0,
,Fiji,4/23/2024 23:07,,,,885.0,"67,226"
,Madagascar,4/23/2024 23:07,,,,,"66,862"
,Cabo Verde,,,,,417.0,"63,755"
,Sudan,4/23/2024 23:07,,,,,"58,947"
,Mauritania,4/23/2024 23:07,,,,997.0,"62,471"
,Bhutan,4/24/2024 0:07,,,,21.0,"61,564"
,Syria,4/23/2024 23:07,,,,,"54,578"
,Burundi,4/23/2024 23:07,,,,38.0,"53,569"
,Seychelles,4/23/2024 23:07,,,,172.0,"51,048"
,Gabon,4/23/2024 23:07,,,,307.0,"48,674"
,Andorra,4/23/2024 23:07,,,,165.0,
,Papua New Guinea,,,,,670.0,"46,168"
,Curaçao,,,,,295.0,"44,720"
,Aruba,4/23/2024 23:07,,,,292.0,"42,438"
,Tanzania,4/23/2024 23:07,,,,846.0,
,Mauritius,4/23/2024 23:07,,,,,"41,278"
,Mayotte,4/23/2024 23:07,,,,188.0,
,Togo,4/23/2024 23:07,,,,290.0,"39,281"
,Guinea,4/23/2024 23:07,,,,468.0,"37,757"
,Bahamas,4/23/2024 23:07,,,,844.0,"36,366"
,Isle of Man,,,,,116.0,
,Lesotho,4/23/2024 23:07,,,,723.0,"25,980"
,Haiti,4/23/2024 23:07,,,,860.0,"33,734"
,Faeroe Islands,,,,,28.0,
,Mali,4/23/2024 23:07,,,,743.0,"32,332"
,Cayman Islands,,,,,37.0,"8,553"
,Saint Lucia,,,,,410.0,"29,805"
,Benin,4/23/2024 23:07,,,,163.0,"27,847"
,Macao,4/23/2024 23:07,,,,123.0,"3,487"
,Somalia,4/23/2024 23:07,,,,,"13,182"
,Micronesia,,,,,65.0,
,San Marino,,,,,128.0,"26,011"
,Solomon Islands,,,,,199.0,
,Congo,4/23/2024 23:07,,,,386.0,"24,006"
,Timor-Leste,4/23/2024 23:07,,,,138.0,"23,102"
,Burkina Faso,,,,,400.0,"21,596"
,Liechtenstein,4/23/2024 23:07,,,,94.0,
,Gibraltar,4/23/2024 23:07,,,,113.0,
,Grenada,4/23/2024 23:07,,,,238.0,"19,358"
,Bermuda,4/23/2024 23:07,,,,165.0,"18,685"
,South Sudan,,,,,147.0,"18,115"
,Nicaragua,4/23/2024 23:07,,,,225.0,"4,225"
,Tajikistan,4/23/2024 23:07,,,,125.0,"17,264"
,Equatorial Guinea,4/22/2024 13:58,,,,183.0,"16,907"
,Monaco,4/23/2024 23:07,,,,67.0,
,Samoa,,,,,31.0,"1,605"
,Tonga,,,,,13.0,"15,638"
,Marshall Islands,,,,,17.0,"16,121"
,Dominica,4/23/2024 23:07,,,,74.0,"15,964"
,Djibouti,4/23/2024 23:07,,,,189.0,"15,427"
,CAR,4/23/2024 23:07,,,,113.0,"15,200"
,Gambia,4/23/2024 23:07,,,,372.0,"12,189"
,Saint Martin,,,,,63.0,
,Vanuatu,,,,,14.0,"11,976"
,Greenland,4/23/2024 23:07,,,,21.0,"2,761"
,Yemen,4/23/2024 23:07,,,,,"9,124"
,Caribbean Netherlands,,,,,38.0,"10,476"
,Sint Maarten,,,,,92.0,"10,905"
,Eritrea,4/23/2024 23:07,,,,103.0,"10,086"
,Niger,4/23/2024 23:07,,,,312.0,"8,890"
,St. Vincent Grenadines,,,,,124.0,"9,493"
,Guinea-Bissau,4/23/2024 23:07,,,,177.0,"8,929"
,Comoros,4/23/2024 23:07,,,,161.0,"8,939"
,Antigua and Barbuda,,,,,146.0,"8,954"
,Liberia,4/23/2024 23:07,,,,295.0,"7,783"
,Sierra Leone,,,,,126.0,
,Chad,4/23/2024 23:07,,,,194.0,"4,874"
,British Virgin Islands,,,,,64.0,
,Cook Islands,,,,,2.0,"7,150"
,Sao Tome and Principe,,,,,80.0,"6,685"
,Turks and Caicos,,,,,40.0,"6,709"
,Saint Kitts and Nevis,,,,,48.0,"6,559"
,Palau,,,,,10.0,"6,276"
,St. Barth,,,,,6.0,
,Nauru,,,,,1.0,"5,347"
,Kiribati,,,,,24.0,"2,703"
,Anguilla,4/23/2024 23:07,,,,12.0,
,Wallis and Futuna,,,,,8.0,438
,Saint Pierre Miquelon,,,,,2.0,"2,449"
,Tuvalu,,,,,1.0,
,Saint Helena,,,,,,2
,Falkland Islands,,,,,,"1,930"
,Montserrat,4/23/2024 23:07,,,,8.0,"1,376"
,Niue,,,,,,"1,056"
699.0,Diamond Princess,,,,712.0,13.0,699
,Tokelau,,,,80.0,,
,Vatican City,,,,29.0,,29
9.0,Western Sahara,,,,10.0,1.0,9
7.0,MS Zaandam,,,,9.0,2.0,7
,,4/24/2024 4:08,,,,,
